t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,3,800,256,10,1.0,13.38187510551299,984.4614178239756
2,sw_ucb,3,800,256,10,1.0,9.314378862440382,1081.6416769727632
3,sw_ucb,3,800,256,10,1.0,10.49916244399971,935.7795560107082
4,sw_ucb,3,800,256,10,1.0,20.00388268879919,648.1391417284156
5,sw_ucb,3,800,256,10,1.0,11.235591043825956,845.8661122023518
6,sw_ucb,3,800,256,10,1.0,12.302381584708456,824.1158365810527
7,sw_ucb,3,800,256,10,1.0,16.121955688206775,1281.4328101385584
8,sw_ucb,3,800,256,10,1.0,14.142902020371068,847.7370715096405
9,sw_ucb,3,800,256,10,1.0,11.444141493412749,1174.0985520041395
10,sw_ucb,3,800,256,10,1.0,6.845312836057442,1142.2922128700297
11,sw_ucb,3,800,256,10,1.0,15.165674812979148,867.547903723118
12,sw_ucb,3,800,256,10,1.0,2.289036625197772,937.5971455942268
13,sw_ucb,3,800,256,10,1.0,3.506908939922501,889.3560396926097
14,sw_ucb,3,800,256,10,1.0,6.464183597152511,1055.0764362455193
15,sw_ucb,3,800,256,10,1.0,-0.5921563939005665,1275.9868332839615
16,sw_ucb,3,800,256,10,1.0,8.432800159094274,612.3968717982068
17,sw_ucb,3,800,256,10,1.0,10.337749699536285,1010.3575854964556
18,sw_ucb,3,800,256,10,1.0,16.180874443067346,1036.4018044956513
19,sw_ucb,3,800,256,10,1.0,10.557640061496587,900.738021473851
20,sw_ucb,3,800,256,10,1.0,0.47592673216909276,995.7245656398914
21,sw_ucb,3,800,256,10,1.0,12.492944803073584,829.7156980194791
22,sw_ucb,3,800,256,10,1.0,6.8465555196524726,836.8999775796351
23,sw_ucb,3,800,256,10,1.0,7.375729183505392,836.8878659460916
24,sw_ucb,3,800,256,10,1.0,14.244432756352742,908.8269389094534
25,sw_ucb,3,800,256,10,1.0,15.542285454914062,923.6088168611135
26,sw_ucb,3,800,256,10,1.0,12.135287595475585,1130.021971481934
27,sw_ucb,3,800,256,10,1.0,8.8365684602086,1056.0124115518054
28,sw_ucb,3,800,256,10,1.0,5.041953196145274,1293.5910730502171
29,sw_ucb,3,800,256,10,1.0,8.345903758078547,1039.4266436281994
30,sw_ucb,3,800,256,10,1.0,5.869977136157019,1287.1661166414192
31,sw_ucb,3,800,256,10,1.0,7.034006172203097,795.736694892239
32,sw_ucb,3,800,256,10,1.0,4.741403571343569,910.778947367374
33,sw_ucb,3,800,256,10,1.0,12.422213113265107,703.7820195034467
34,sw_ucb,3,800,256,10,1.0,7.414256006628541,987.9252866433276
35,sw_ucb,3,800,256,10,1.0,9.617797600591706,803.947483383177
36,sw_ucb,3,800,256,10,1.0,17.426370327801926,1082.48011299058
37,sw_ucb,3,800,256,10,1.0,12.199134836149456,689.1365805647899
38,sw_ucb,3,800,256,10,1.0,20.187495079736458,806.1229638142147
39,sw_ucb,3,800,256,10,1.0,16.066419794359113,918.4245505969336
40,sw_ucb,3,800,256,10,1.0,9.211763925233619,1005.7774195698614
41,sw_ucb,3,800,256,10,1.0,-2.157622515284716,1084.5927264796746
42,sw_ucb,3,800,256,10,1.0,16.265101117611934,1102.859263329688
43,sw_ucb,3,800,256,10,1.0,8.957966041440573,935.1472354079874
44,sw_ucb,3,800,256,10,1.0,0.9807746875221479,970.1613387895751
45,sw_ucb,3,800,256,10,1.0,7.355768311075559,763.762156274435
