t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012021436700216664,0.8,590.7222834807922,400.0,0.0,0.0,0.43671058471216995,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.12982036000919125,0.2,1,0,0,0,0,590.7222834807922,0.0,0.0,0.0,0.6010718350108332,5.0,590.7222834807922,-1.383412547743637,0.9458381693511778,1.2398199374183172,0.43671058471216995,0.43671058471216995,0.6010718350108332,0,0,0,0.639892005567444,0.573344844177575,1,0.02,8.0,0.0,0.0,7.360107994432556,0,0,1,1,1,1,6.6584000014699996
2,0.01996242146783373,0.8,788.0921569097718,400.0,0.0,0.0,0.43224302326450514,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.20120212892123013,0.2,1,0,0,0,0,788.0921569097718,0.0,0.0,0.0,0.9981210733916865,5.0,788.0921569097718,-1.0837417063069648,0.924176166994879,1.2811427155812174,0.43224302326450514,0.43224302326450514,0.9981210733916865,0,0,0,1.1951233619634425,0.573344844177575,1,0.02,8.0,0.0,7.360107994432556,14.164984632469114,0,0,1,1,1,1,6.487700011348352
3,0.012474444948315882,0.8,557.3369956431924,400.0,0.0,0.0,0.4375711370086915,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.13658935105038217,0.2,1,0,0,0,0,557.3369956431924,0.0,0.0,0.0,0.6237222474157941,5.0,557.3369956431924,-1.4435043049251126,0.9494156843742868,1.2337354882734874,0.4375711370086915,0.4375711370086915,0.6237222474157941,0,0,0,0.5638502099500396,0.573344844177575,1,0.02,8.0,0.0,14.164984632469114,21.601134422519074,0,0,1,1,1,1,6.264700001338497
4,0.008492491628930749,0.8,455.1560171481697,400.0,0.0,0.0,0.4404673037256808,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.09755910824714034,0.2,1,0,0,0,0,455.1560171481697,0.0,0.0,0.0,0.4246245814465375,5.0,455.1560171481697,-1.6518751405712426,0.96016082870599,1.2149236677309048,0.4404673037256808,0.4404673037256808,0.4246245814465375,0,0,0,0.36266077065330615,0.573344844177575,1,0.02,8.0,0.0,21.601134422519074,29.238473651865768,0,0,1,1,1,1,6.288600008701906
5,0.011365586448419316,0.8,648.8691680409675,400.0,0.0,0.0,0.4352935443859595,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.12002044025628052,0.2,1,0,0,0,0,648.8691680409675,0.0,0.0,0.0,0.5682793224209658,5.0,648.8691680409675,-1.2861818545790333,0.939540557878905,1.2511279347700557,0.4352935443859595,0.4352935443859595,0.5682793224209658,0,0,0,0.7846053581867187,0.573344844177575,1,0.02,8.0,0.0,29.238473651865768,36.45386829367905,0,0,1,1,1,1,6.3227999926311895
6,0.00878433077701358,0.8,439.84597624416864,400.0,0.0,0.0,0.4409418614037631,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.10173026223892423,0.2,1,0,0,0,0,439.84597624416864,0.0,0.0,0.0,0.43921653885067896,5.0,439.84597624416864,-1.68696302679656,0.9617406053771468,1.211944007268393,0.4409418614037631,0.4409418614037631,0.43921653885067896,0,0,0,0.3365648155679954,0.573344844177575,1,0.02,8.0,0.0,36.45386829367905,44.117303478111054,0,0,1,1,1,1,6.323900001007132
7,0.01571476835873651,0.8,620.5075740428068,400.0,0.0,0.0,0.4359725343506704,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.16772739520190916,0.2,1,0,0,0,0,620.5075740428068,0.0,0.0,0.0,0.7857384179368254,5.0,620.5075740428068,-1.332508382978137,0.9426223061383611,1.2453864865718833,0.4359725343506704,0.4359725343506704,0.7857384179368254,0,0,0,0.7120658724451284,0.573344844177575,1,0.02,8.0,0.0,44.117303478111054,51.405237605665924,0,0,1,1,1,1,6.5005999931599945
8,0.01230265858855924,0.8,569.4357757961077,400.0,0.0,0.0,0.4372549926697749,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.13402246549129887,0.2,1,0,0,0,0,569.4357757961077,0.0,0.0,0.0,0.615132929427962,5.0,569.4357757961077,-1.4213345052943698,0.9481226408297085,1.2355312633782831,0.4372549926697749,0.4372549926697749,0.615132929427962,0,0,0,0.5908164853077648,0.573344844177575,1,0.02,8.0,0.0,51.405237605665924,58.81442112035816,0,0,1,1,1,1,6.226999990758486
9,0.012276489198530747,0.8,571.3367608810095,400.0,0.0,0.0,0.4372057707960051,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.13363143427409793,0.2,1,0,0,0,0,571.3367608810095,0.0,0.0,0.0,0.6138244599265373,5.0,571.3367608810095,-1.4178926327845867,0.9479191136818638,1.2359360659793261,0.4372057707960051,0.4372057707960051,0.6138244599265373,0,0,0,0.5951144978563208,0.573344844177575,1,0.02,8.0,0.0,58.81442112035816,66.21930662250185,0,0,1,1,1,1,6.201600001077168
10,0.015787862755437948,0.8,614.9166801244672,400.0,0.0,0.0,0.436109056371912,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.16887160405011917,0.2,1,0,0,0,0,614.9166801244672,0.0,0.0,0.0,0.7893931377718973,5.0,614.9166801244672,-1.3418810579047147,0.9432275973623259,1.244575521216723,0.436109056371912,0.436109056371912,0.7893931377718973,0,0,0,0.6982059470529626,0.573344844177575,1,0.02,8.0,0.0,66.21930662250185,73.52110067544888,0,0,1,1,1,1,6.221400006324984
